high	low	varBid	open	close	timestamp
5.1451	5.141	0.0004	5.1442	5.1442	2024-05-24 00:57:40
5.1451	5.141	0.0004	5.1442	5.1442	2024-05-23 23:58:40
5.155	5.1495	0.0013	5.1442	5.1511	2024-05-22 21:29:26
5.1251	5.122	0.0004	5.1511	5.1225	2024-05-21 23:59:00
5.1052	5.1032	0.0012	5.1225	5.104	2024-05-20 23:23:53
5.1377	5.1009	0.0004	5.104	5.1029	2024-05-19 19:01:56
5.1377	5.1009	-0.0244	5.1029	5.1031	2024-05-17 20:59:56
5.1377	5.1009	-0.0243	5.1031	5.104	2024-05-17 20:59:33
5.14	5.1047	0.0006	5.104	5.1288	2024-05-16 20:59:00
5.1378	5.134	-0.0007	5.1288	5.1361	2024-05-15 22:30:05
5.1304	5.1265	-0.0032	5.1361	5.1262	2024-05-14 21:29:43
5.1572	5.1502	0.0061	5.1262	5.157	2024-05-13 21:29:56
5.1608	5.1185	0.0004	5.157	5.1579	2024-05-12 20:59:20
5.1608	5.1185	0.0176	5.1579	5.1584	2024-05-10 20:59:53
5.1608	5.1185	0.0171	5.1584	5.1574	2024-05-10 20:59:20
5.1424	5.1369	0.0011	5.1574	5.142	2024-05-09 23:59:20
5.0932	5.0875	0	5.142	5.0904	2024-05-08 22:30:04
5.0778	5.0707	0.004	5.0904	5.0744	2024-05-07 21:28:43
5.0785	5.0754	0.0005	5.0744	5.0758	2024-05-06 22:30:04
5.0725	5.0725	0.0003	5.0758	5.0722	2024-05-05 23:59:40
5.1164	5.0453	-0.0388	5.0722	5.0723	2024-05-03 20:59:54
5.1164	5.0453	-0.0385	5.0723	5.0727	2024-05-03 20:59:40
5.1164	5.111	-0.0003	5.0727	5.1109	2024-05-02 23:58:41
5.194	5.194	0.0004	5.1109	5.1936	2024-05-01 23:58:40
5.1999	5.1929	0.0006	5.1936	5.1936	2024-04-30 23:59:20
5.1195	5.1177	-0.0009	5.1936	5.1175	2024-04-29 21:09:41
